name,factory,tvl,fee,contract,token_1,token_2
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.003054888043161731,0.003,0xbdac6d913259bdc49d978e8e60fd81762ee22f41,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xe1929f1ce36d7b2c246dc31d8e026e5a74d10634
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.053463899124072696,0.003,0x68a55d9c3a30d88d918e741f4e794428776235cc,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x37666172262019df537a0143be3f66d7d8bd1cdd
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.00545609421554697,0.003,0x1366dfcbc0766b9b945acd102b98dfbf5ab77d45,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x9235817a7977120ae06ba5ab4e1d800563dd2d21
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,427.128084438846193391,0.003,0xc00819c26e8e89639def03d35c687bb00c88f93e,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xf25d202cd09210c79f546db5851e33c34268d589
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.00000732405607499,0.003,0x8b1d9bc6d1c4602d70c05a6efcf776c4a1d418f3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xef995cd57bcc4b35af93a21ca4ba07d2b3163674
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,427.093938367526243566,0.003,0x4e6b7c514de22b8fefedd1ea3d30cb724c250908,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x8899e4976d6a641ea30f618d9207ae0fc6291d7c
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0.004864029262674959,0.003,0x067011798a556fe8ce7bb4ed6abfd3ec299e46c3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xc4c9532dcadabe2c5101abe126dd25ede8e1e994
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,3.920604430510090763,0.003,0xaa5dc569b0788938fb4f9f74bcda005755a285c2,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0x8a953cfe442c5e8855cc6c61b1293fa648bae472
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0x4c3488eb9c6b962d42b24e8388c7166c721eeda7,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xf0059ff8b86102f343033c5805eef777a4fc4889
quickswap,0x5757371414417b8c6caad45baef941abc7d3ab32,0,0.003,0xf887c5ca0b69f29e820334c893018a035c6c4817,0x84228ac29d63ac601aef70aa471cf5eb15bbdb4b,0x86bc05a6f65efdada08528ec66603aef175d967f
